Année 2012 | Mois 03 | Matricule   5085 | Rang global    155 | Rang dans fichier   155 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   7022 | Rang global    156 | Rang dans fichier   156 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0386 | Rang global    157 | Rang dans fichier   157 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   4050 | Rang global    158 | Rang dans fichier   158 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0320 | Rang global    159 | Rang dans fichier   159 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   3140 | Rang global    160 | Rang dans fichier   160 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0253 | Rang global    161 | Rang dans fichier   161 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   3122 | Rang global    162 | Rang dans fichier   162 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   0152 | Rang global    163 | Rang dans fichier   163 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0254 | Rang global    164 | Rang dans fichier   164 | Analyseur C : N.ligne     21 | Xml : N.ligne     21 | Différence    0
Année 2012 | Mois 03 | Matricule   0153 | Rang global    165 | Rang dans fichier   165 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   3001 | Rang global    166 | Rang dans fichier   166 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0568 | Rang global    167 | Rang dans fichier   167 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   0155 | Rang global    168 | Rang dans fichier   168 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   0562 | Rang global    169 | Rang dans fichier   169 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   6075 | Rang global    170 | Rang dans fichier   170 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   6045 | Rang global    171 | Rang dans fichier   171 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2012 | Mois 03 | Matricule   0156 | Rang global    172 | Rang dans fichier   172 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0010 | Rang global    173 | Rang dans fichier   173 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   3056 | Rang global    174 | Rang dans fichier   174 | Analyseur C : N.ligne     19 | Xml : N.ligne     19 | Différence    0
Année 2012 | Mois 03 | Matricule   3165 | Rang global    175 | Rang dans fichier   175 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   0201 | Rang global    176 | Rang dans fichier   176 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0157 | Rang global    177 | Rang dans fichier   177 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   4503 | Rang global    178 | Rang dans fichier   178 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
