Loading http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet/tlpkg/texlive.tlpdb
Installing TeX Live 2014 from: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Platform: win32 => 'Windows'
Distribution: net  (downloading)
Using URL: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Directory for temporary files: C:/Users/fnicol/AppData/Local/Temp
Installer revision: 36087
Database revision: 36203
Installing [001/842, time/total: ??:??/??:??]: 12many [3k]
Installing [254/842, time/total: 05:19/10:13]: enctex [24k]
Installing [255/842, time/total: 05:20/10:15]: enigma [18k]
Installing [256/842, time/total: 05:21/10:17]: epsf [8k]
Installing [257/842, time/total: 05:21/10:17]: epsf-dvipdfmx [1k]
Installing [258/842, time/total: 05:21/10:17]: epsincl [2k]
Installing [259/842, time/total: 05:22/10:19]: epslatex-fr [1k]
Installing [260/842, time/total: 05:22/10:19]: epstopdf [12k]
Installing [261/842, time/total: 05:23/10:21]: epstopdf.win32 [1k]
Installing [262/842, time/total: 05:23/10:21]: eqnarray [3k]
Installing [263/842, time/total: 05:23/10:21]: es-tex-faq [1k]
Installing [264/842, time/total: 05:24/10:23]: eso-pic [4k]
Installing [265/842, time/total: 05:24/10:23]: etex [12k]
Installing [266/842, time/total: 05:25/10:24]: etex-pkg [5k]
Installing [267/842, time/total: 05:25/10:24]: etoolbox [8k]
Installing [268/842, time/total: 05:25/10:24]: etoolbox-de [1k]
Installing [269/842, time/total: 05:26/10:26]: euenc [4k]
Installing [270/842, time/total: 05:26/10:26]: euler [4k]
Installing [271/842, time/total: 05:27/10:28]: euro [3k]
Installing [272/842, time/total: 05:27/10:28]: euro-ce [6k]
Installing [273/842, time/total: 05:27/10:28]: eurosym [137k]
Installing [274/842, time/total: 05:28/10:29]: expressg [19k]
Installing [275/842, time/total: 05:29/10:31]: extarrows [1k]
Installing [276/842, time/total: 05:29/10:31]: exteps [3k]
Installing [277/842, time/total: 05:30/10:33]: extpfeil [2k]
Installing [278/842, time/total: 05:30/10:33]: extsizes [12k]
Installing [279/842, time/total: 05:30/10:33]: facture [4k]
Installing [280/842, time/total: 05:31/10:35]: faktor [2k]
Installing [281/842, time/total: 05:31/10:34]: fancybox [8k]
Installing [282/842, time/total: 05:32/10:36]: fancyhdr [9k]
Installing [283/842, time/total: 05:32/10:36]: fancyhdr-it [1k]
Installing [284/842, time/total: 05:32/10:36]: fancyref [4k]
Installing [285/842, time/total: 05:33/10:38]: fancyvrb [12k]
Installing [286/842, time/total: 05:33/10:38]: featpost [32k]
Installing [287/842, time/total: 05:34/10:40]: feupphdteses [7k]
Installing [288/842, time/total: 05:34/10:40]: feynmf [20k]
Installing [289/842, time/total: 05:34/10:40]: feynmp-auto [2k]
Installing [290/842, time/total: 05:35/10:42]: fifinddo-info [1k]
Installing [291/842, time/total: 05:35/10:42]: figflow [3k]
Installing [292/842, time/total: 05:35/10:42]: finbib [6k]
Installing [293/842, time/total: 05:36/10:43]: findhyph [4k]
Installing [294/842, time/total: 05:36/10:43]: findhyph.win32 [1k]
Installing [295/842, time/total: 05:37/10:45]: first-latex-doc [1k]
Installing [296/842, time/total: 05:37/10:45]: fix2col [3k]
Installing [297/842, time/total: 05:37/10:45]: fixlatvian [3k]
Installing [298/842, time/total: 05:38/10:47]: fixltxhyph [2k]
Installing [299/842, time/total: 05:38/10:47]: fixpdfmag [2k]
Installing [300/842, time/total: 05:39/10:49]: float [3k]
Installing [301/842, time/total: 05:39/10:49]: font-change [37k]
Installing [302/842, time/total: 05:40/10:51]: fontbook [2k]
Installing [303/842, time/total: 05:40/10:51]: fontch [16k]
Installing [304/842, time/total: 05:41/10:52]: fontinst [84k]
Installing [305/842, time/total: 05:42/10:54]: fontname [107k]
Installing [306/842, time/total: 05:42/10:53]: fontools [32k]
Installing [307/842, time/total: 05:43/10:55]: fontools.win32 [1k]
Installing [308/842, time/total: 05:44/10:57]: fontspec [20k]
Installing [309/842, time/total: 05:44/10:56]: fontware [1k]
Installing [310/842, time/total: 05:45/10:58]: fontware.win32 [56k]
Installing [311/842, time/total: 05:45/10:58]: fontwrap [13k]
Installing [312/842, time/total: 05:45/10:58]: fp [19k]
Installing [313/842, time/total: 05:46/11:00]: fpl [344k]
Installing [314/842, time/total: 05:47/10:59]: fragmaster [7k]
Installing [315/842, time/total: 05:47/10:59]: fragmaster.win32 [1k]
Installing [316/842, time/total: 05:48/11:01]: frenchle [21k]
Installing [317/842, time/total: 05:48/11:01]: frletter [2k]
Installing [318/842, time/total: 05:49/11:03]: frontespizio [6k]
Installing [319/842, time/total: 05:49/11:03]: garrigues [9k]
Installing [320/842, time/total: 05:49/11:02]: genmisc [56k]
Installing [321/842, time/total: 05:50/11:04]: gentle [1k]
Installing [322/842, time/total: 05:51/11:06]: geometry [9k]
Installing [323/842, time/total: 05:51/11:06]: geometry-de [1k]
Installing [324/842, time/total: 05:51/11:06]: german [7k]
Installing [325/842, time/total: 05:52/11:08]: germbib [12k]
Installing [326/842, time/total: 05:52/11:08]: germkorr [3k]
Installing [327/842, time/total: 05:53/11:09]: getoptk [5k]
Installing [328/842, time/total: 05:53/11:09]: glyphlist [25k]
Installing [329/842, time/total: 05:53/11:09]: gmp [4k]
Installing [330/842, time/total: 05:54/11:11]: graphics [13k]
Installing [331/842, time/total: 05:54/11:11]: graphics-pln [9k]
Installing [332/842, time/total: 05:54/11:11]: grundgesetze [3k]
Installing [333/842, time/total: 05:55/11:13]: gsftopk [4k]
Installing [334/842, time/total: 05:55/11:13]: gsftopk.win32 [13k]
Installing [335/842, time/total: 05:56/11:15]: guide-to-latex [1k]
Installing [336/842, time/total: 05:56/11:15]: gustlib [40k]
Installing [337/842, time/total: 05:57/11:16]: gustprog [1k]
Installing [338/842, time/total: 05:57/11:16]: happy4th [1k]
Installing [339/842, time/total: 05:58/11:18]: hatching [2k]
Installing [340/842, time/total: 05:58/11:18]: hausarbeit-jura [5k]
Installing [341/842, time/total: 05:58/11:18]: helvetic [528k]
Installing [342/842, time/total: 06:01/11:20]: hrlatex [4k]
Installing [343/842, time/total: 06:01/11:20]: hyperref [105k]
Installing [344/842, time/total: 06:02/11:21]: hyph-utf8 [1000k]
Installing [345/842, time/total: 06:06/11:21]: hyphen-armenian [1k]
Installing [346/842, time/total: 06:06/11:21]: hyphen-base [22k]
Installing [347/842, time/total: 06:06/11:21]: hyphen-basque [1k]
Installing [348/842, time/total: 06:07/11:22]: hyphen-catalan [1k]
Installing [349/842, time/total: 06:07/11:22]: hyphen-croatian [1k]
Installing [350/842, time/total: 06:08/11:24]: hyphen-czech [1k]
Installing [351/842, time/total: 06:08/11:24]: hyphen-danish [1k]
Installing [352/842, time/total: 06:08/11:24]: hyphen-dutch [1k]
Installing [353/842, time/total: 06:09/11:26]: hyphen-english [1k]
Installing [354/842, time/total: 06:09/11:26]: hyphen-estonian [1k]
Installing [355/842, time/total: 06:09/11:26]: hyphen-finnish [1k]
Installing [356/842, time/total: 06:10/11:28]: hyphen-french [1k]
Installing [357/842, time/total: 06:10/11:28]: hyphen-friulan [1k]
Installing [358/842, time/total: 06:11/11:30]: hyphen-galician [1k]
Installing [359/842, time/total: 06:11/11:30]: hyphen-german [46k]
Installing [360/842, time/total: 06:12/11:31]: hyphen-hungarian [1k]
Installing [361/842, time/total: 06:12/11:31]: hyphen-icelandic [1k]
Installing [362/842, time/total: 06:13/11:33]: hyphen-irish [1k]
Installing [363/842, time/total: 06:13/11:33]: hyphen-italian [1k]
Installing [364/842, time/total: 06:13/11:33]: hyphen-kurmanji [1k]
Installing [365/842, time/total: 06:14/11:35]: hyphen-latin [1k]
Installing [366/842, time/total: 06:14/11:35]: hyphen-latvian [1k]
Installing [367/842, time/total: 06:15/11:37]: hyphen-lithuanian [1k]
Installing [368/842, time/total: 06:15/11:37]: hyphen-norwegian [1k]
Installing [369/842, time/total: 06:15/11:37]: hyphen-piedmontese [1k]
Installing [370/842, time/total: 06:15/11:37]: hyphen-polish [1k]
Installing [371/842, time/total: 06:16/11:39]: hyphen-portuguese [1k]
Installing [372/842, time/total: 06:16/11:39]: hyphen-romanian [1k]
Installing [373/842, time/total: 06:16/11:39]: hyphen-romansh [1k]
Installing [374/842, time/total: 06:17/11:41]: hyphen-slovak [1k]
Installing [375/842, time/total: 06:17/11:41]: hyphen-slovenian [1k]
Installing [376/842, time/total: 06:18/11:42]: hyphen-spanish [1k]
Installing [377/842, time/total: 06:18/11:42]: hyphen-swedish [1k]
Installing [378/842, time/total: 06:18/11:42]: hyphen-turkish [1k]
Installing [379/842, time/total: 06:19/11:44]: hyphen-uppersorbian [1k]
Installing [380/842, time/total: 06:19/11:44]: hyphen-welsh [1k]
