Année 2011 | Mois 01 | Matricule   1193 | Rang global    158 | Rang dans fichier   158 | Analyseur C : N.ligne      3 | Xml : N.ligne      3 | Différence    0
Année 2011 | Mois 01 | Matricule   1049 | Rang global    159 | Rang dans fichier   159 | Analyseur C : N.ligne     10 | Xml : N.ligne     10 | Différence    0
Année 2011 | Mois 01 | Matricule   0413 | Rang global    160 | Rang dans fichier   160 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   1067 | Rang global    161 | Rang dans fichier   161 | Analyseur C : N.ligne    165 | Xml : N.ligne    165 | Différence    0
Année 2011 | Mois 01 | Matricule   0397 | Rang global    162 | Rang dans fichier   162 | Analyseur C : N.ligne     30 | Xml : N.ligne     30 | Différence    0
Année 2011 | Mois 01 | Matricule   0712 | Rang global    163 | Rang dans fichier   163 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2011 | Mois 01 | Matricule   0656 | Rang global    164 | Rang dans fichier   164 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   1304 | Rang global    165 | Rang dans fichier   165 | Analyseur C : N.ligne      6 | Xml : N.ligne      6 | Différence    0
Année 2011 | Mois 01 | Matricule   0699 | Rang global    166 | Rang dans fichier   166 | Analyseur C : N.ligne     39 | Xml : N.ligne     39 | Différence    0
Année 2011 | Mois 01 | Matricule   0810 | Rang global    167 | Rang dans fichier   167 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   1084 | Rang global    168 | Rang dans fichier   168 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2011 | Mois 01 | Matricule   0986 | Rang global    169 | Rang dans fichier   169 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2011 | Mois 01 | Matricule   0419 | Rang global    170 | Rang dans fichier   170 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   1026 | Rang global    171 | Rang dans fichier   171 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
